Category,Brand,Ttile,SKU Code,SKU Length,MRP,Case Pack,HSN,GST%,EAN/UPC,ASIN,FSN,BB ID,Blinkit ID,Swiggy ID,Zepto ID,Jiomart Id,Super daily,Margin to RK (ASP),Margin to CRPL (ASP),Margin to Blinkit (MRP),Margin to Swiggy (MRP),Margin to Dunzo (MRP),Margin to Bigbasket (MRP),Margin to Zepto (MRP),Margin to FK Grocery (MRP),Margin to RK Fresh (ASP)
Toilet Tissue Rolls,Origami,"Toilet Roll Pack of 10, 160 Pulls, 3 Ply",TRP10P160P3,11,470,8,48181000,18%,8906004863851,B081NS2NSZ,TPOGPK4HKG2NDEJZ,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,"Toilet Roll Pack of 10, 160 Pulls, 3 Ply",SSTTR10IN13PLY,,340,,,,,B081NS2NSZ,,,,,,,,,,,,,,,,
Toilet Tissue Rolls,Origami,"Toilet Roll Pack of 8, 340 Pulls, 3 Ply",TRP4P840P3,10,750,12,48181000,18%,8906004861147,B016PV1UWY,TPOGPK4DSSZYKZKF,-,-,23470,-,590308641,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,"Toilet Roll Pack of 8, 340 Pulls, 3 Ply",TRP4P840P3,10,750,12,48181000,18%,8906004861147,B016PV1UWY,TPOG9XWDZXGCSGNZ,,,,,,,,,,,,,,,
Box Facial Tissues,Origami,"Box Facial Tissues Pack of 4, 100 Pulls, 2 Ply",FTP4P100P2,10,400,8,48182000,18%,8906004863080,B00W1SO13G,FLTFJE9HDWXKKXZS,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Good Karma,"Origami Good Karma 3 Ply Unbleached Toilet Paper - 260 Sheets Per Roll - 4-in-1 Pack - 1,040 Pulls",GKTRP4P260P3,12,295,16,48181000,18%,8906004867040,B08P7CHH98,TPOGQ58UWWTXDPGJ,40242716,10108092,-,9cdf7a88-8c75-462e-9392-84245755e288,590309871,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Kitchen Towel Rolls,Good Karma,Origami Good Karma 2 Ply Unbleached Kitchen Towel - 2 in 1 - Pack of 3 - 6 Rolls - 450 Pulls,GKKRP6P75P2,11,540,4,48182000,18%,8906004868986,B0B36657GM,KNRGQ552JKPEAQK9,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,"Box Facial Tissues Pack of 6, 200 Pulls, 2 Ply",FTP6P200P2,10,1110,5,48182000,18%,8906004863073,B017ICNH6G,-,-,-,-,-,590309861,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Kitchen Towel Rolls,Good Karma,Origami Good Karma Kitchen -Towel-2in1,GKKRP2P75P2,11,180,16,48182000,18%,8906004867057,B08P7CPGD9,-,40242717,10108093,-,0e9d4f4d-9499-41f1-bd1e-91722bd3801d,590309866,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,"Toilet Roll Pack of 6, 160 Pulls, 3 Ply - Pack of 2",TR6X1-12P3P,11,580,8,48181000,18%,8906004861130,B016Y37JLE,-,-,-,-,-,590307594,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,"Origami So Soft - 3 Ply Toilet Paper | Tissue Roll - 6 in 1 (Pack of 4)- 24 Rolls - Total 3840 Pulls Toilet Paper Roll (3 Ply, 160 Sheets)",TR6X1-4P3P,10,1160,4,48181000,18%,8906004861130-4,B016QFAU02,TPOG5XQSYNDHJACZ,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,"Origami So Soft - 3 Ply Toilet Paper | Tissue Roll - 4 in 1 (Pack of 4)- 16 Rolls - Total 5440 Pulls Toilet Paper Roll (3 Ply, 340 Sheets)",TR4X1-4P3P,10,1500,3,48181000,18%,8906004861147-4,-,TPOG5XQTY3AYPERW,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Plates,Origami,Origami Disposable Party Paper Plates - 23cm - 50 Plates Per Pack - Pack of 2-100 Plates - Polka Dots,Plate23-50DOT,13,600,10,48236900,12%,8906004864186,B096MPGZKF,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Plates,Origami,Origami Disposable Party Paper Plates - 23cm - 50 Plates Per Pack - Pack of 2-100 Plates - Polka Dots,Plate23-50CKE,13,600,10,48236900,12%,8906004864186,B096MT2B7Y,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Kitchen Towel Rolls,Origami,Origami So Soft Kitchen Towel Roll - 60 Pieces (Pack of 4),NWKT4x1P2,9,299,12,48181000,18%,8906004860355,B0CHYC8CR2,KNRGYDZBA8DXWX6D,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami ,"Origami 4ply Toilet Tissue Paper Roll - Pack of 4 (140 Pulls per Roll, 560 Sheets) (Lucart range)",OR4PLYLUCP04,12,540,12,48181000,18%,8906004860706,B0D83BG8Z9/ B0DF528DX8,-,-,,,,-,,,,,,,,,,
